t(s),Adsorbed H on surface 1,Total T surface 1
6102.217182602084,4.832312736824731e+18,300.0
6112.217182602084,4.831285095851022e+18,300.0
6122.217182602084,4.830260041771118e+18,300.0
6132.217182602084,4.829237559515679e+18,300.0
6142.217182602084,4.828217634151662e+18,300.0
6152.217182602084,4.827200250880655e+18,300.0
6162.217182602084,4.826185395037238e+18,300.0
6172.217182602084,4.825173052087366e+18,300.0
6182.217182602084,4.824163207626778e+18,300.0
6192.217182602084,4.823155847379434e+18,300.0
6202.217182602084,4.822150957195975e+18,300.0
6212.217182602084,4.821148523052195e+18,300.0
6222.217182602084,4.820148531047554e+18,300.0
6232.217182602084,4.8191509674037e+18,300.0
6242.217182602084,4.81815581846302e+18,300.0
6252.217182602084,4.817163070687207e+18,300.0
6262.217182602084,4.816172710655857e+18,300.0
6272.217182602084,4.815184725065073e+18,300.0
6282.217182602084,4.814199100726106e+18,300.0
6292.217182602084,4.813215824564005e+18,300.0
6302.217182602084,4.81223488361629e+18,300.0
6312.217182602084,4.811256265031645e+18,300.0
6322.217182602084,4.810279956068628e+18,300.0
6332.217182602084,4.809305944094405e+18,300.0
6342.217182602084,4.808334216583492e+18,300.0
6352.217182602084,4.80736476111653e+18,300.0
6362.217182602084,4.806397565379065e+18,300.0
6372.217182602084,4.805432617160352e+18,300.0
6382.217182602084,4.804469904352171e+18,300.0
6392.217182602084,4.80350941494767e+18,300.0
6402.217182602084,4.802551137040211e+18,300.0
6412.217182602084,4.801595058822244e+18,300.0
6422.217182602084,4.800641168584191e+18,300.0
6432.217182602084,4.799689454713346e+18,300.0
6442.217182602084,4.798739905692793e+18,300.0
6452.217182602084,4.797792510100337e+18,300.0
6462.217182602084,4.79684725660745e+18,300.0
6472.217182602084,4.795904133978238e+18,300.0
6482.217182602084,4.794963131068409e+18,300.0
6492.217182602084,4.794024236824268e+18,300.0
6502.217182602084,4.793087440281722e+18,300.0
6512.217182602084,4.792152730565295e+18,300.0
6522.217182602084,4.791220096887163e+18,300.0
6532.217182602084,4.790289528546196e+18,300.0
6542.217182602084,4.789361014927018e+18,300.0
6552.217182602084,4.788434545499076e+18,300.0
6562.217182602084,4.787510109815724e+18,300.0
6572.217182602084,4.786587697513322e+18,300.0
6582.217182602084,4.785667298310343e+18,300.0
6592.217182602084,4.784748902006487e+18,300.0
6602.217182602084,4.78081227326377e+18,311.0859130104218
6602.267182602084,4.780791954484033e+18,311.3359130104218
6602.317182602084,4.7807709806429e+18,311.5859130104218
6602.3671826020845,4.78074933175692e+18,311.8359130104218
6602.417182602085,4.780726987269649e+18,312.0859130104218
6602.467182602085,4.780703926036386e+18,312.3359130104218
6602.517182602085,4.780680126308521e+18,312.5859130104218
6602.567182602085,4.780655565717523e+18,312.83591301042907
6602.617182602085,4.780630221258533e+18,313.08591301042907
6602.667182602086,4.780604069273561e+18,313.33591301042907
6602.717182602086,4.780577085434289e+18,313.58591301042907
6602.767182602086,4.780549244724462e+18,313.83591301042907
6602.817182602086,4.780520521421853e+18,314.08591301042907
6602.867182602086,4.780490889079815e+18,314.33591301042907
6602.9171826020865,4.78046032050839e+18,314.58591301043634
6602.967182602087,4.780428787754974e+18,314.83591301043634
6603.017182602087,4.780396262084533e+18,315.08591301043634
6603.067182602087,4.780362713959357e+18,315.33591301043634
6603.117182602087,4.780328113018346e+18,315.58591301043634
6603.167182602087,4.780292428055814e+18,315.83591301043634
6603.217182602088,4.780255626999809e+18,316.08591301043634
6603.267182602088,4.780217676889934e+18,316.33591301043634
6603.317182602088,4.780178543854661e+18,316.58591301043634
6603.367182602088,4.780138193088133e+18,316.8359130104436
6603.417182602088,4.780096588826442e+18,317.0859130104436
6603.4671826020885,4.780053694323366e+18,317.3359130104436
6603.517182602089,4.780009471825569e+18,317.5859130104436
6603.567182602089,4.779963882547248e+18,317.8359130104436
6603.617182602089,4.779916886644215e+18,318.0859130104436
6603.667182602089,4.779868443187403e+18,318.3359130104436
6603.717182602089,4.7798185101358e+18,318.5859130104509
6603.76718260209,4.779767044308783e+18,318.8359130104509
6603.81718260209,4.779714001357855e+18,319.0859130104509
6603.86718260209,4.779659335737765e+18,319.3359130104509
6603.91718260209,4.779603000677017e+18,319.5859130104509
6603.96718260209,4.779544948147737e+18,319.8359130104509
6604.0171826020905,4.779485128834909e+18,320.0859130104509
6604.067182602091,4.779423492104957e+18,320.3359130104509
6604.117182602091,4.779359985973666e+18,320.5859130104509
6604.167182602091,4.779294557073437e+18,320.83591301045817
6604.217182602091,4.779227150619859e+18,321.08591301045817
6604.267182602091,4.779157710377597e+18,321.33591301045817
6604.317182602092,4.77908617862558e+18,321.58591301045817
6604.367182602092,4.779012496121481e+18,321.83591301045817
6604.417182602092,4.778936602065484e+18,322.08591301045817
6604.467182602092,4.778858434063318e+18,322.33591301045817
6604.517182602092,4.778777928088571e+18,322.58591301046545
6604.5671826020925,4.778695018444245e+18,322.83591301046545
6604.617182602093,4.77860963772357e+18,323.08591301046545
6604.667182602093,4.778521716770055e+18,323.33591301046545
6604.717182602093,4.778431184636772e+18,323.58591301046545
6604.767182602093,4.778337968544862e+18,323.83591301046545
6604.817182602093,4.778241993841262e+18,324.08591301046545
6604.867182602094,4.778143183955634e+18,324.33591301046545
6604.917182602094,4.778041460356508e+18,324.58591301046545
6604.967182602094,4.777936742506609e+18,324.8359130104727
6605.017182602094,4.77782894781738e+18,325.0859130104727
6605.067182602094,4.777717991602691e+18,325.3359130104727
6605.1171826020945,4.777603787031721e+18,325.5859130104727
6605.167182602095,4.777486245081014e+18,325.8359130104727
6605.217182602095,4.777365274485711e+18,326.0859130104727
6605.267182602095,4.777240781689938e+18,326.3359130104727
6605.317182602095,4.777112670796365e+18,326.58591301048
6605.367182602095,4.776980843514917e+18,326.83591301048
6605.417182602096,4.776845199110646e+18,327.08591301048
6605.467182602096,4.776705634350759e+18,327.33591301048
6605.517182602096,4.7765620434508e+18,327.58591301048
6605.567182602096,4.776414318019988e+18,327.83591301048
6605.617182602096,4.776262347005713e+18,328.08591301048
6605.667182602097,4.776106016637184e+18,328.33591301048
6605.717182602097,4.775945210368247e+18,328.58591301048
6605.767182602097,4.77577980881936e+18,328.8359130104873
6605.817182602097,4.775609689718739e+18,329.0859130104873
6605.867182602097,4.775434727842683e+18,329.3359130104873
6605.9171826020975,4.775254794955071e+18,329.5859130104873
6605.967182602098,4.775069759746062e+18,329.8359130104873
6606.017182602098,4.774879487769977e+18,330.0859130104873
6606.067182602098,4.774683841382403e+18,330.3359130104873
6606.117182602098,4.774482679676516e+18,330.58591301049455
6606.167182602098,4.774275858418633e+18,330.83591301049455
6606.217182602099,4.774063229983011e+18,331.08591301049455
6606.267182602099,4.77384464328592e+18,331.33591301049455
6606.317182602099,4.773619943718988e+18,331.58591301049455
6606.367182602099,4.773388973081856e+18,331.83591301049455
6606.417182602099,4.773151569514147e+18,332.08591301049455
6606.4671826020995,4.772907567426786e+18,332.33591301049455
6606.5171826021,4.77265679743269e+18,332.58591301049455
6606.5671826021,4.772399086276849e+18,332.8359130105018
6606.6171826021,4.772134256765839e+18,333.0859130105018
6606.6671826021,4.771862127696787e+18,333.3359130105018
6606.7171826021,4.771582513785823e+18,333.5859130105018
6606.767182602101,4.771295225596056e+18,333.8359130105018
6606.817182602101,4.771000069465112e+18,334.0859130105018
6606.867182602101,4.77069684743227e+18,334.3359130105018
6606.917182602101,4.770385357165241e+18,334.5859130105091
6606.967182602101,4.770065391886634e+18,334.8359130105091
6607.0171826021015,4.769736740300149e+18,335.0859130105091
6607.067182602102,4.769399186516561e+18,335.3359130105091
6607.117182602102,4.769052509979537e+18,335.5859130105091
6607.167182602102,4.76869648539134e+18,335.8359130105091
6607.217182602102,4.768330882638478e+18,336.0859130105091
6607.267182602102,4.767955466717379e+18,336.3359130105091
6607.317182602103,4.767569997660113e+18,336.5859130105091
6607.367182602103,4.767174230460279e+18,336.8359130105164
6607.417182602103,4.766767914999082e+18,337.0859130105164
6607.467182602103,4.766350795971705e+18,337.3359130105164
6607.517182602103,4.765922612814033e+18,337.5859130105164
6607.5671826021035,4.76548309962982e+18,337.8359130105164
